dataset,model,metric,seed_mean,seed_std,ensemble,ci_low,ci_high
kermany_grouped,densenet121,accuracy,0.9752136752136752,0.003725554652598853,0.9803418803418803,0.9719961374061958,0.9880766407875511
kermany_grouped,densenet121,balanced_accuracy,0.9712978947159553,0.004964175500707364,0.9764829751770938,0.9655506317141125,0.9865269583007664
kermany_grouped,densenet121,precision,0.9862924968453354,0.0037158731261100982,0.9882766705744431,0.9805340929321702,0.9947452266276181
kermany_grouped,densenet121,recall,0.9797507788161993,0.004721322294774979,0.9848130841121495,0.9761001633214424,0.9922396827033809
kermany_grouped,densenet121,specificity,0.9628450106157113,0.01023742119001375,0.9681528662420382,0.9473684210526315,0.985120701058201
kermany_grouped,densenet121,f1,0.9830029937599516,0.002571502193188861,0.9865418373317729,0.9804449998725231,0.9919507843018772
kermany_grouped,densenet121,roc_auc,0.9929460086909935,0.0003358320166794885,0.994523483540687,0.990563042098681,0.9977810796936677
kermany_grouped,densenet121,auprc,0.9970192840308935,0.0003968905929726465,0.997889827071855,0.9961606131296242,0.9992355159240407
kermany_grouped,densenet121,brier_score,0.019804691182311658,0.0024420504007133647,0.017545187700722945,0.01178504858674427,0.023466371723218738
kermany_grouped,convnext_tiny,accuracy,0.9763532763532763,0.0013055771210700353,0.9777777777777777,0.9691330711242215,0.9861594686173824
kermany_grouped,convnext_tiny,balanced_accuracy,0.97039630335139,0.005698523581272253,0.9727141496517651,0.9604962136804177,0.9837532156071043
kermany_grouped,convnext_tiny,precision,0.9844482873201136,0.005810617375389426,0.9859484777517564,0.9773494441607641,0.9935554897359893
kermany_grouped,convnext_tiny,recall,0.9832554517133957,0.005267815131802428,0.9836448598130841,0.9740558380298947,0.9918138185977167
kermany_grouped,convnext_tiny,specificity,0.9575371549893843,0.01634267974346141,0.9617834394904459,0.9394856128283918,0.9817114619409033
kermany_grouped,convnext_tiny,f1,0.9838311398595784,0.000858557994696711,0.9847953216374269,0.9785785136763262,0.9906134382325337
