file,dataset,split,model,sample_count,accuracy,precision,recall,specificity,f1,roc_auc,balanced_accuracy,false_positive_rate,false_negative_rate,brier_score,ece
./results/eval_rsna_test_vit_b16.json,rsna,test,torchvision:vit_b_16,442,0.6923076923076923,0.6501650165016502,0.8678414096916299,0.5069767441860465,0.7433962264150943,0.7734658334187071,0.6874090769388382,0.4930232558139535,0.13215859030837004,0.24338891327324558,0.19188956525103015
./results/eval_rsna_test_densenet121.json,rsna,test,torchvision:densenet121,442,0.7330316742081447,0.6798679867986799,0.9074889867841409,0.5488372093023256,0.7773584905660378,0.8090154697264624,0.7281630980432332,0.4511627906976744,0.09251101321585903,0.2325407976163012,0.19675288726589163
./results/eval_rsna_test_convnext_tiny.json,rsna,test,torchvision:convnext_tiny,442,0.7013574660633484,0.6517571884984026,0.8986784140969163,0.4930232558139535,0.7555555555555555,0.786517774818154,0.6958508349554349,0.5069767441860465,0.1013215859030837,0.25615886258379666,0.2279258488424067
./results/eval_kermany_test_densenet121.json,kermany,test,torchvision:densenet121,624,0.905448717948718,0.876993166287016,0.9871794871794872,0.7692307692307693,0.9288299155609168,0.9744466359850976,0.8782051282051282,0.23076923076923078,0.01282051282051282,0.07523082226986884,0.054814847419286515
./results/eval_kermany_test_convnext_tiny.json,kermany,test,torchvision:convnext_tiny,624,0.8878205128205128,0.8524229074889867,0.9923076923076923,0.7136752136752137,0.9170616113744076,0.9780955511724744,0.8529914529914531,0.2863247863247863,0.007692307692307693,0.08966525560015924,0.07763455553429548
./results/eval_rsna_test_densenet121_expanded_simple_mixed.json,rsna,test,torchvision:densenet121,442,0.7601809954751131,0.8538011695906432,0.6431718061674009,0.8837209302325582,0.7336683417085427,0.8567564798688659,0.7634463681999795,0.11627906976744186,0.3568281938325991,0.17422255943410478,0.08190667350108552
./results/eval_kermany_test_densenet121_expanded_simple_mixed.json,kermany,test,torchvision:densenet121,624,0.8605769230769231,0.8189473684210526,0.9974358974358974,0.6324786324786325,0.8994219653179191,0.9705566513258822,0.814957264957265,0.36752136752136755,0.002564102564102564,0.11930538808138962,0.09415982360136992
./results/eval_rsna_test_densenet121_expanded_domain_balanced.json,rsna,test,torchvision:densenet121,442,0.746606334841629,0.8616352201257862,0.6035242290748899,0.8976744186046511,0.7098445595854922,0.8623091896322098,0.7505993238397706,0.10232558139534884,0.3964757709251101,0.1843475511098075,0.1223771685322987
./results/eval_kermany_test_densenet121_expanded_domain_balanced.json,kermany,test,torchvision:densenet121,624,0.9022435897435898,0.873015873015873,0.9871794871794872,0.7606837606837606,0.9265944645006017,0.9741891299583607,0.8739316239316239,0.23931623931623933,0.01282051282051282,0.07900462478798878,0.05465522121423235
./results/eval_rsna_test_densenet121_expanded_rsna_only.json,rsna,test,torchvision:densenet121,442,0.7285067873303167,0.7276595744680852,0.7533039647577092,0.7023255813953488,0.7402597402597403,0.8218010449749001,0.727814773076529,0.29767441860465116,0.24669603524229075,0.17852669262412454,0.07505973065651242
./results/eval_kermany_test_densenet121_expanded_rsna_only.json,kermany,test,torchvision:densenet121,624,0.7387820512820513,0.735966735966736,0.9076923076923077,0.45726495726495725,0.8128587830080367,0.7870589524435678,0.6824786324786325,0.5427350427350427,0.09230769230769231,0.17406856108764274,0.04679413703688153
./results/eval_rsna_test_densenet121_expanded_finetune_head.json,rsna,test,torchvision:densenet121,442,0.746606334841629,0.7017543859649122,0.8810572687224669,0.6046511627906976,0.78125,0.8011884028275791,0.7428542157565823,0.3953488372093023,0.11894273127753303,0.21640832371932497,0.18220927963154976
./results/eval_kermany_test_densenet121_expanded_finetune_head.json,kermany,test,torchvision:densenet121,624,0.905448717948718,0.9007263922518159,0.9538461538461539,0.8247863247863247,0.9265255292652553,0.96537365768135,0.8893162393162393,0.1752136752136752,0.046153846153846156,0.07260740766584745,0.04987345661557625
./results/eval_rsna_test_densenet121_expanded_last_block.json,rsna,test,torchvision:densenet121,442,0.7398190045248869,0.6854304635761589,0.9118942731277533,0.5581395348837209,0.782608695652174,0.8258375166478844,0.735016904005737,0.4418604651162791,0.0881057268722467,0.21316942266459696,0.16647355688095294
./results/eval_kermany_test_densenet121_expanded_last_block.json,kermany,test,torchvision:densenet121,624,0.9102564102564102,0.8976190476190476,0.9666666666666667,0.8162393162393162,0.9308641975308642,0.96772956388341,0.8914529914529914,0.18376068376068377,0.03333333333333333,0.07279172020236245,0.05118648026318182
./results/eval_rsna_test_densenet121_expanded_full_finetune.json,rsna,test,torchvision:densenet121,442,0.7217194570135747,0.6635220125786163,0.9295154185022027,0.5023255813953489,0.7743119266055046,0.8343202540723287,0.7159204999487758,0.49767441860465117,0.07048458149779736,0.23289224584744353,0.20605098528162727
./results/eval_kermany_test_densenet121_expanded_full_finetune.json,kermany,test,torchvision:densenet121,624,0.8766025641025641,0.8454746136865342,0.982051282051282,0.7008547008547008,0.9086595492289442,0.9650010957703266,0.8414529914529914,0.29914529914529914,0.017948717948717947,0.0983964731825726,0.07872469924357584
